rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20180290,아쿠아맨,2018-12-19,3482411050,33.8,1154385750,49.6,33936703431,384106,96412,33.5,3875963,1158,4594,20190101
2,2,0,OLD,20170658,PMC: 더 벙커,2018-12-26,1763943100,17.1,425397650,31.8,11468190467,195859,30733,18.6,1374890,893,3530,20190101
3,3,1,OLD,20185485,보헤미안 랩소디,2018-10-31,1236738450,12.0,378199650,44.1,81247178795,135879,29431,27.6,9360461,732,1872,20190101
4,4,-1,OLD,20186281,범블비,2018-12-25,1143504700,11.1,264548150,30.1,10899588452,132618,21611,19.5,1299768,766,2519,20190101
5,5,0,NEW,20184187,언니,2019-01-01,612798450,5.9,612798450,100,623953450,66686,66686,100,67929,509,1679,20190101
6,6,-1,OLD,20175547,스윙키즈,2018-12-19,580947700,5.6,89503150,18.2,10889513302,66173,2513,3.9,1324984,577,1309,20190101
7,7,-1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,490861100,4.8,193316450,65,3432402500,60574,18888,45.3,435886,581,1083,20190101
8,8,-1,OLD,20182421,그린치,2018-12-19,264288100,2.6,78854150,42.5,3939730050,32824,6574,25,517888,449,672,20190101
9,9,0,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,233903600,2.3,109925100,88.7,2382611650,29372,11919,68.3,306578,336,500,20190101
10,10,-2,OLD,20168773,마약왕,2018-12-19,173524150,1.7,-35881950,-17.1,15958248702,19248,-6521,-25.3,1832842,426,705,20190101
1,1,0,OLD,20180290,아쿠아맨,2018-12-19,873960050,31.1,-2608451000,-74.9,34810663481,105089,-279017,-72.6,3981052,1110,4364,20190102
2,2,0,OLD,20170658,PMC: 더 벙커,2018-12-26,397485250,14.2,-1366457850,-77.5,11865675717,49300,-146559,-74.8,1424190,819,3311,20190102
3,3,0,OLD,20185485,보헤미안 랩소디,2018-10-31,330326950,11.8,-906411500,-73.3,81577505745,40954,-94925,-69.9,9401415,693,1836,20190102
4,4,0,OLD,20186281,범블비,2018-12-25,283619450,10.1,-859885250,-75.2,11183207902,35828,-96790,-73,1335596,719,2386,20190102
5,5,0,OLD,20184187,언니,2019-01-01,204752400,7.3,-408046050,-66.6,828705850,24845,-41841,-62.7,92774,529,1700,20190102
6,6,0,OLD,20175547,스윙키즈,2018-12-19,179116350,6.4,-401831350,-69.2,11068629652,23104,-43069,-65.1,1348088,587,1353,20190102
7,7,0,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,150542800,5.4,-340318300,-69.3,3582945300,21225,-39349,-65,457111,501,843,20190102
8,8,0,OLD,20182421,그린치,2018-12-19,74478500,2.7,-189809600,-71.8,4014208550,10527,-22297,-67.9,528415,370,508,20190102
9,9,0,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,74949850,2.7,-158953750,-68,2457561500,10414,-18958,-64.5,316992,280,383,20190102
10,10,0,OLD,20168773,마약왕,2018-12-19,54248000,1.9,-119276150,-68.7,16012496702,6794,-12454,-64.7,1839636,403,684,20190102
1,1,0,NEW,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,942808600,30.5,942808600,100,985518600,125882,125882,100,130447,962,3269,20190103
2,2,-1,OLD,20180290,아쿠아맨,2018-12-19,664994950,21.5,-208965100,-23.9,35475658431,81399,-23690,-22.5,4062451,1074,3853,20190103
3,3,-1,OLD,20170658,PMC: 더 벙커,2018-12-26,287866850,9.3,-109618400,-27.6,12153542567,35509,-13791,-28,1459699,747,2681,20190103
4,4,-1,OLD,20185485,보헤미안 랩소디,2018-10-31,267494700,8.7,-62832250,-19,81845000445,32889,-8065,-19.7,9434304,652,1711,20190103
5,5,-1,OLD,20186281,범블비,2018-12-25,198721050,6.4,-84898400,-29.9,11381928952,25065,-10763,-30,1360661,656,1921,20190103
6,6,0,OLD,20175547,스윙키즈,2018-12-19,147258350,4.8,-31858000,-17.8,11215888002,19023,-4081,-17.7,1367111,536,1112,20190103
7,7,-2,OLD,20184187,언니,2019-01-01,142319650,4.6,-62432750,-30.5,971025500,17227,-7618,-30.7,110001,530,1451,20190103
8,8,-1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,93835800,3.0,-56707000,-37.7,3676781100,13291,-7934,-37.4,470402,369,525,20190103
9,9,0,NEW,20176251,내안의 그놈,2019-01-09,39013000,1.3,39013000,100,157549000,4807,4807,100,19978,25,26,20190103
10,10,-1,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,30272350,1.0,-44677500,-59.6,2487833850,4200,-6214,-59.7,321192,148,180,20190103
1,1,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,944568145,28.1,1759545,0.2,1930086745,114355,-11527,-9.2,244802,1123,3698,20190104
2,2,0,OLD,20180290,아쿠아맨,2018-12-19,849423421,25.3,184428471,27.7,36325081852,94390,12991,16,4156841,1094,3956,20190104
3,3,1,OLD,20185485,보헤미안 랩소디,2018-10-31,351188900,10.5,83694200,31.3,82196189345,38528,5639,17.1,9472832,657,1828,20190104
4,4,-1,OLD,20170658,PMC: 더 벙커,2018-12-26,320063717,9.5,32196867,11.2,12473606284,36003,494,1.4,1495702,732,2582,20190104
5,5,0,OLD,20186281,범블비,2018-12-25,253711862,7.6,54990812,27.7,11635640814,29301,4236,16.9,1389962,657,1909,20190104
6,6,0,OLD,20175547,스윙키즈,2018-12-19,150405100,4.5,3146750,2.1,11366293102,17369,-1654,-8.7,1384480,524,1090,20190104
7,7,0,OLD,20184187,언니,2019-01-01,156446000,4.7,14126350,9.9,1127471500,17202,-25,-0.1,127203,510,1330,20190104
8,8,0,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,91450550,2.7,-2385250,-2.5,3768231650,11503,-1788,-13.5,481905,375,522,20190104
9,9,1,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,31924700,1.0,1652350,5.5,2519758550,3967,-233,-5.5,325159,154,194,20190104
10,10,5,OLD,20183238,스파이더맨: 뉴 유니버스,2018-12-12,35810750,1.1,10129900,39.4,5531061626,3929,792,25.2,666176,100,168,20190104
1,1,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,2200001603,30.8,1255433458,132.9,4130088348,268326,153971,134.6,513128,1393,4712,20190105
2,2,0,OLD,20180290,아쿠아맨,2018-12-19,1904787577,26.7,1055364156,124.2,38229869429,209224,114834,121.7,4366065,1123,4004,20190105
3,3,0,OLD,20185485,보헤미안 랩소디,2018-10-31,683046150,9.6,331857250,94.5,82879235495,74552,36024,93.5,9547384,708,1828,20190105
4,4,0,OLD,20170658,PMC: 더 벙커,2018-12-26,556856110,7.8,236792393,74,13030462394,61436,25433,70.6,1557138,741,2250,20190105
5,5,0,OLD,20186281,범블비,2018-12-25,471851863,6.6,218140001,86,12107492677,54071,24770,84.5,1444033,662,1678,20190105
6,6,7,OLD,20184105,말모이,2019-01-09,383652650,5.4,373400650,3642.2,738727150,42874,41104,2322.3,103895,447,735,20190105
7,7,0,OLD,20184187,언니,2019-01-01,228604700,3.2,72158700,46.1,1356076200,24906,7704,44.8,152109,506,1065,20190105
8,8,-2,OLD,20175547,스윙키즈,2018-12-19,213429000,3.0,63023900,41.9,11579722102,24315,6946,40,1408795,479,891,20190105
9,9,-1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,158681850,2.2,67231300,73.5,3926913500,19798,8295,72.1,501703,413,573,20190105
10,10,-1,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,63989400,0.9,32064700,100.4,2583747950,8061,4094,103.2,333220,160,207,20190105
1,1,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,2021064800,32.1,-178936803,-8.1,6151153148,245225,-23101,-8.6,758353,1453,4862,20190106
2,2,0,OLD,20180290,아쿠아맨,2018-12-19,1615337400,25.6,-289450177,-15.2,39845206829,178306,-30918,-14.8,4544371,1121,3874,20190106
3,3,0,OLD,20185485,보헤미안 랩소디,2018-10-31,570969800,9.1,-112076350,-16.4,83450205295,63005,-11547,-15.5,9610389,701,1788,20190106
4,4,0,OLD,20170658,PMC: 더 벙커,2018-12-26,457782500,7.3,-99073610,-17.8,13488244894,50537,-10899,-17.7,1607675,715,2073,20190106
5,5,1,OLD,20184105,말모이,2019-01-09,433474450,6.9,49821800,13,1172201600,48084,5210,12.2,151979,449,734,20190106
6,6,-1,OLD,20186281,범블비,2018-12-25,400555850,6.4,-71296013,-15.1,12508048527,46067,-8004,-14.8,1490100,678,1610,20190106
7,7,0,OLD,20184187,언니,2019-01-01,185563650,2.9,-43041050,-18.8,1541639850,20229,-4677,-18.8,172338,498,993,20190106
8,8,1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,156078050,2.5,-2603800,-1.6,4082991550,19350,-448,-2.3,521053,409,564,20190106
9,9,-1,OLD,20175547,스윙키즈,2018-12-19,168047500,2.7,-45381500,-21.3,11747769602,19210,-5105,-21,1428005,472,829,20190106
10,10,0,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,62798150,1.0,-1191250,-1.9,2646546100,7849,-212,-2.6,341069,157,210,20190106
1,1,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,543643950,26.9,-1477420850,-73.1,6694797098,71418,-173807,-70.9,829771,1185,4329,20190107
2,2,0,OLD,20180290,아쿠아맨,2018-12-19,501140000,24.8,-1114197400,-69,40346346829,60679,-117627,-66,4605050,1083,3733,20190107
3,3,0,OLD,20185485,보헤미안 랩소디,2018-10-31,213124500,10.5,-357845300,-62.7,83663329795,26315,-36690,-58.2,9636704,635,1803,20190107
4,4,0,OLD,20170658,PMC: 더 벙커,2018-12-26,152471050,7.5,-305311450,-66.7,13640715944,18774,-31763,-62.9,1626449,670,2002,20190107
5,5,1,OLD,20186281,범블비,2018-12-25,129316400,6.4,-271239450,-67.7,12637364927,16234,-29833,-64.8,1506334,632,1619,20190107
6,6,3,OLD,20175547,스윙키즈,2018-12-19,85490050,4.2,-82557450,-49.1,11833259652,10788,-8422,-43.8,1438793,484,918,20190107
7,7,0,OLD,20184187,언니,2019-01-01,84306100,4.2,-101257550,-54.6,1625945950,10145,-10084,-49.8,182483,508,1074,20190107
8,8,-3,OLD,20184105,말모이,2019-01-09,58290000,2.9,-375184450,-86.6,1230491600,7208,-40876,-85,159187,35,35,20190107
9,9,-1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,41061300,2.0,-115016750,-73.7,4124052850,5820,-13530,-69.9,526873,352,478,20190107
10,10,1,OLD,20183238,스파이더맨: 뉴 유니버스,2018-12-12,26324100,1.3,-25421800,-49.1,5666273776,3214,-2448,-43.2,681314,90,166,20190107
1,1,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,563766500,27.4,20122550,3.7,7258563598,75411,3993,5.6,905182,1176,4315,20190108
2,2,0,OLD,20180290,아쿠아맨,2018-12-19,488214950,23.7,-12925050,-2.6,40834561779,59260,-1419,-2.3,4664310,1086,3720,20190108
3,3,0,OLD,20185485,보헤미안 랩소디,2018-10-31,229529100,11.1,16404600,7.7,83892858895,28415,2100,8,9665119,653,1807,20190108
4,4,0,OLD,20170658,PMC: 더 벙커,2018-12-26,141543750,6.9,-10927300,-7.2,13782259694,17250,-1524,-8.1,1643699,665,1974,20190108
5,5,0,OLD,20186281,범블비,2018-12-25,130549800,6.3,1233400,1,12767914727,16357,123,0.8,1522691,632,1618,20190108
6,6,0,OLD,20175547,스윙키즈,2018-12-19,91261950,4.4,5771900,6.8,11924521602,11573,785,7.3,1450366,510,961,20190108
7,7,0,OLD,20184187,언니,2019-01-01,75097250,3.6,-9208850,-10.9,1701043200,9043,-1102,-10.9,191526,507,1041,20190108
8,8,1,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,39537950,1.9,-1523350,-3.7,4163590800,5638,-182,-3.1,532511,355,484,20190108
9,9,2,OLD,20186324,언더독,2019-01-16,39566000,1.9,15710000,65.9,84615000,4412,1520,52.6,9639,23,23,20190108
10,10,5,OLD,20176251,내안의 그놈,2019-01-09,36013100,1.7,13525700,60.1,220625500,4183,2041,95.3,26719,28,28,20190108
1,1,11,OLD,20184105,말모이,2019-01-09,984040250,32.4,967375250,5804.8,2231196850,122458,119125,3574.1,284978,1077,4853,20190109
2,2,8,OLD,20176251,내안의 그놈,2019-01-09,688757700,22.7,652744600,1812.5,909383200,85238,81055,1937.7,111957,671,2576,20190109
3,3,-2,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,465559200,15.3,-98207300,-17.4,7724122798,62802,-12609,-16.7,967984,908,2982,20190109
4,4,-2,OLD,20180290,아쿠아맨,2018-12-19,339313050,11.2,-148901900,-30.5,41173874829,40815,-18445,-31.1,4705125,749,2423,20190109
5,5,-2,OLD,20185485,보헤미안 랩소디,2018-10-31,155566300,5.1,-73962800,-32.2,84048425195,18969,-9446,-33.2,9684088,517,1135,20190109
6,6,17,OLD,20184574,그린 북,2019-01-09,104664150,3.4,100047150,2166.9,201029950,12416,11903,2320.3,22467,349,943,20190109
7,7,0,NEW,20187427,명탐정 코난 : 제로의 집행인,2018-08-08,48172000,1.6,48172000,100,3065612361,6438,6438,100,402932,31,140,20190109
8,8,-3,OLD,20186281,범블비,2018-12-25,49089950,1.6,-81459850,-62.4,12817004677,6213,-10144,-62,1528904,357,576,20190109
9,9,-5,OLD,20170658,PMC: 더 벙커,2018-12-26,39788750,1.3,-101755000,-71.9,13822048444,4688,-12562,-72.8,1648387,341,599,20190109
10,10,-2,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,22139350,0.7,-17398600,-44,4185730150,3155,-2483,-44,535666,183,227,20190109
1,1,0,OLD,20184105,말모이,2019-01-09,915333400,28.0,-68706850,-7,3146530250,114367,-8091,-6.6,399345,1112,4761,20190110
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,721582750,22.0,32825050,4.8,1630965950,88860,3622,4.2,200817,776,2729,20190110
3,3,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,426395850,13.0,-39163350,-8.4,8150518648,58195,-4607,-7.3,1026179,870,2598,20190110
4,4,27,OLD,20183915,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,405005750,12.4,403179750,22079.9,419138750,57616,57412,28143.1,59191,692,1581,20190110
5,5,-1,OLD,20180290,아쿠아맨,2018-12-19,278939460,8.5,-60373590,-17.8,41452814289,33396,-7419,-18.2,4738521,722,2119,20190110
6,6,-1,OLD,20185485,보헤미안 랩소디,2018-10-31,141139500,4.3,-14426800,-9.3,84189564695,17054,-1915,-10.1,9701142,511,995,20190110
7,7,-1,OLD,20184574,그린 북,2019-01-09,94180450,2.9,-10483700,-10,295210400,11461,-955,-7.7,33928,398,931,20190110
8,8,0,OLD,20186281,범블비,2018-12-25,36622650,1.1,-12467300,-25.4,12853627327,4617,-1596,-25.7,1533521,300,451,20190110
9,9,0,NEW,20184943,빌리어네어 보이즈클럽,2019-01-10,34529400,1.1,34529400,100,35645400,4146,4146,100,4270,166,434,20190110
10,10,-1,OLD,20170658,PMC: 더 벙커,2018-12-26,28222250,0.9,-11566500,-29.1,13850270694,3285,-1403,-29.9,1651672,278,426,20190110
1,1,0,OLD,20184105,말모이,2019-01-09,1218285077,31.8,302951677,33.1,4364815327,138509,24142,21.1,537854,1128,4932,20190111
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,984944378,25.7,263361628,36.5,2615910328,111168,22308,25.1,311985,880,3145,20190111
3,3,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,475543929,12.4,49148079,11.5,8626062577,59365,1170,2,1085544,897,2590,20190111
4,4,1,OLD,20180290,아쿠아맨,2018-12-19,353927401,9.2,74987941,26.9,41806741690,38741,5345,16,4777262,716,2108,20190111
5,5,-1,OLD,20183915,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,233759680,6.1,-171246070,-42.3,652898430,30253,-27363,-47.5,89444,707,1657,20190111
6,6,0,OLD,20185485,보헤미안 랩소디,2018-10-31,178498150,4.7,37358650,26.5,84368062845,19441,2387,14,9720583,521,974,20190111
7,7,0,OLD,20184574,그린 북,2019-01-09,118596032,3.1,24415582,25.9,413806432,13264,1803,15.7,47192,372,921,20190111
8,8,0,OLD,20186281,범블비,2018-12-25,41774280,1.1,5151630,14.1,12895401607,4750,133,2.9,1538271,279,408,20190111
9,9,1,OLD,20170658,PMC: 더 벙커,2018-12-26,33563400,0.9,5341150,18.9,13883834094,3601,316,9.6,1655273,268,399,20190111
10,10,-1,OLD,20184943,빌리어네어 보이즈클럽,2019-01-10,24838400,0.6,-9691000,-28.1,60483800,2687,-1459,-35.2,6957,162,343,20190111
1,1,0,OLD,20184105,말모이,2019-01-09,2851905264,33.4,1633620187,134.1,7216720591,322741,184232,133,860595,1203,5132,20190112
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,1982344898,23.2,997400520,101.3,4598255226,223603,112435,101.1,535588,1004,3655,20190112
3,3,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,1104689996,13.0,629146067,132.3,9730752573,134929,75564,127.3,1220473,934,2690,20190112
4,4,1,OLD,20183915,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,872894780,10.2,639135100,273.4,1525793210,110957,80704,266.8,200401,763,2189,20190112
5,5,-1,OLD,20180290,아쿠아맨,2018-12-19,715517514,8.4,361590113,102.2,42522259204,77639,38898,100.4,4854901,738,1995,20190112
6,6,0,OLD,20185485,보헤미안 랩소디,2018-10-31,325379510,3.8,146881360,82.3,84693442355,35064,15623,80.4,9755647,502,930,20190112
7,7,0,OLD,20184574,그린 북,2019-01-09,245207142,2.9,126611110,106.8,659013574,26917,13653,102.9,74109,373,873,20190112
8,8,0,OLD,20186281,범블비,2018-12-25,74256200,0.9,32481920,77.8,12969657807,8556,3806,80.1,1546827,266,376,20190112
9,9,0,OLD,20170658,PMC: 더 벙커,2018-12-26,47167230,0.6,13603830,40.5,13931001324,5093,1492,41.4,1660366,218,314,20190112
10,10,1,OLD,20187427,명탐정 코난 : 제로의 집행인,2018-08-08,32523000,0.4,13235500,68.6,3138433861,3630,1503,70.7,411495,31,125,20190112
1,1,0,OLD,20184105,말모이,2019-01-09,2850305040,35.4,-1600224,-0.1,10067025631,324324,1583,0.5,1184919,1202,5007,20190113
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,2040427250,25.3,58082352,2.9,6638682476,229792,6189,2.8,765380,1041,3730,20190113
3,3,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,1000295580,12.4,-104394416,-9.5,10731048153,121811,-13118,-9.7,1342284,933,2630,20190113
4,4,0,OLD,20183915,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,710820230,8.8,-162074550,-18.6,2236613440,89477,-21480,-19.4,289878,748,2160,20190113
5,5,0,OLD,20180290,아쿠아맨,2018-12-19,603315610,7.5,-112201904,-15.7,43125574814,65834,-11805,-15.2,4920735,734,1876,20190113
6,6,0,OLD,20185485,보헤미안 랩소디,2018-10-31,277610030,3.4,-47769480,-14.7,84971052385,30032,-5032,-14.4,9785679,504,911,20190113
7,7,0,OLD,20184574,그린 북,2019-01-09,230360650,2.9,-14846492,-6.1,889374224,25460,-1457,-5.4,99569,369,840,20190113
8,8,0,OLD,20186281,범블비,2018-12-25,57216830,0.7,-17039370,-22.9,13026874637,6664,-1892,-22.1,1553491,251,335,20190113
9,9,0,OLD,20170658,PMC: 더 벙커,2018-12-26,45451550,0.6,-1715680,-3.6,13976452874,4834,-259,-5.1,1665200,204,277,20190113
10,10,2,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,29138500,0.4,2153650,8,4262643350,3671,157,4.5,545789,91,114,20190113
1,1,0,OLD,20184105,말모이,2019-01-09,897802890,34.9,-1952502150,-68.5,10964828521,112027,-212297,-65.5,1296946,1106,4766,20190114
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,786887930,30.6,-1253539320,-61.4,7425570406,95878,-133914,-58.3,861258,963,3794,20190114
3,3,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,251454900,9.8,-748840680,-74.9,10982503053,33913,-87898,-72.2,1376197,835,2316,20190114
4,4,1,OLD,20180290,아쿠아맨,2018-12-19,175729340,6.8,-427586270,-70.9,43301304154,21105,-44729,-67.9,4941840,653,1769,20190114
5,5,1,OLD,20185485,보헤미안 랩소디,2018-10-31,102923270,4.0,-174686760,-62.9,85073975655,12508,-17524,-58.4,9798187,490,931,20190114
6,6,1,OLD,20184574,그린 북,2019-01-09,94362260,3.7,-135998390,-59,983736484,11366,-14094,-55.4,110935,366,878,20190114
7,7,-3,OLD,20183915,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,80676800,3.1,-630143430,-88.7,2317290240,11348,-78129,-87.3,301226,568,1313,20190114
8,8,0,NEW,20186324,언더독,2019-01-16,29936000,1.2,29936000,100,133335000,3390,3390,100,15181,14,14,20190114
9,9,-1,OLD,20186281,범블비,2018-12-25,18927310,0.7,-38289520,-66.9,13045801947,2425,-4239,-63.6,1555916,244,337,20190114
10,10,0,NEW,20185047,쿠르스크,2019-01-16,15744000,0.6,15744000,100,85840500,1968,1968,100,10805,10,11,20190114
1,1,0,OLD,20184105,말모이,2019-01-09,888051170,33.9,-9751720,-1.1,11852879691,111887,-140,-0.1,1408833,1116,4783,20190115
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,759249150,29.0,-27638780,-3.5,8184819556,92667,-3211,-3.3,953925,1004,3908,20190115
3,3,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,264926870,10.1,13471970,5.4,11247429923,36337,2424,7.1,1412534,827,2279,20190115
4,4,0,OLD,20180290,아쿠아맨,2018-12-19,172980050,6.6,-2749290,-1.6,43474284204,21064,-41,-0.2,4962904,663,1733,20190115
5,5,0,OLD,20185485,보헤미안 랩소디,2018-10-31,110978000,4.2,8054730,7.8,85184953655,13438,930,7.4,9811625,505,950,20190115
6,6,0,OLD,20184574,그린 북,2019-01-09,101284820,3.9,6922560,7.3,1085021304,12316,950,8.4,123251,383,904,20190115
7,7,0,OLD,20183915,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,76513300,2.9,-4163500,-5.2,2393803540,11066,-282,-2.5,312292,557,1210,20190115
8,8,0,OLD,20186324,언더독,2019-01-16,38313000,1.5,8377000,28,171648000,4417,1027,30.3,19598,12,15,20190115
9,9,7,OLD,20166602,그대 이름은 장미,2019-01-16,24908000,1.0,15171500,155.8,138509500,3101,2306,290.1,14780,14,14,20190115
10,10,-1,OLD,20186281,범블비,2018-12-25,23003160,0.9,4075850,21.5,13068805107,2956,531,21.9,1558872,243,335,20190115
1,1,0,OLD,20184105,말모이,2019-01-09,845121470,30.6,-42929700,-4.8,12698001161,107579,-4308,-3.9,1516412,1015,3993,20190116
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,725335550,26.3,-33913600,-4.5,8910155106,89952,-2715,-2.9,1043877,954,3612,20190116
3,3,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,219538080,8.0,-45388790,-17.1,11466968003,29914,-6423,-17.7,1442448,636,1366,20190116
4,4,4,OLD,20186324,언더독,2019-01-16,139539100,5.1,101226100,264.2,311187100,18781,14364,325.2,38379,612,1470,20190116
5,5,18,OLD,20182588,미래의 미라이,2019-01-16,124865980,4.5,119312980,2148.6,158031780,16169,15552,2520.6,19789,508,1132,20190116
6,6,3,OLD,20166602,그대 이름은 장미,2019-01-16,110733670,4.0,85825670,344.6,249243170,14163,11062,356.7,28943,540,1562,20190116
7,7,-3,OLD,20180290,아쿠아맨,2018-12-19,114317270,4.1,-58662780,-33.9,43588601474,13701,-7363,-35,4976605,438,875,20190116
8,8,24,OLD,20182044,구스 베이비,2019-01-16,62236950,2.3,60424950,3334.7,76072950,9482,9280,4594.1,11020,391,627,20190116
9,9,-4,OLD,20185485,보헤미안 랩소디,2018-10-31,77700940,2.8,-33277060,-30,85262654595,9316,-4122,-30.7,9820941,324,554,20190116
10,10,-4,OLD,20184574,그린 북,2019-01-09,65332380,2.4,-35952440,-35.5,1150353684,7989,-4327,-35.1,131240,190,428,20190116
1,1,0,OLD,20184105,말모이,2019-01-09,719737710,25.0,-125383760,-14.8,13417738871,90529,-17050,-15.8,1606941,965,3403,20190117
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,619988700,21.5,-105346850,-14.5,9530143806,75564,-14388,-16,1119441,862,3022,20190117
3,3,0,NEW,20182544,글래스,2019-01-17,615511580,21.4,615511580,100,623623580,71816,71816,100,72440,837,3400,20190117
4,4,-1,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,165775320,5.8,-53762760,-24.5,11632743323,22921,-6993,-23.4,1465369,531,997,20190117
5,5,-1,OLD,20186324,언더독,2019-01-16,98198480,3.4,-41340620,-29.6,409385580,13756,-5025,-26.8,52135,580,1304,20190117
6,6,-1,OLD,20182588,미래의 미라이,2019-01-16,86485850,3.0,-38380130,-30.7,244517630,11170,-4999,-30.9,30959,483,978,20190117
7,7,-1,OLD,20166602,그대 이름은 장미,2019-01-16,75643050,2.6,-35090620,-31.7,324886220,9636,-4527,-32,38579,506,1174,20190117
8,8,0,OLD,20182044,구스 베이비,2019-01-16,56799950,2.0,-5437000,-8.7,132872900,8754,-728,-7.7,19774,382,565,20190117
9,9,4,OLD,20182530,극한직업,2019-01-23,67707000,2.4,21861000,47.7,165341000,7746,2652,52.1,18726,40,40,20190117
10,10,-1,OLD,20185485,보헤미안 랩소디,2018-10-31,56880690,2.0,-20820250,-26.8,85319535285,6954,-2362,-25.4,9827895,241,332,20190117
1,1,0,OLD,20184105,말모이,2019-01-09,952212478,28.8,232474768,32.3,14369951349,108567,18038,19.9,1715508,1021,3749,20190118
2,2,0,OLD,20176251,내안의 그놈,2019-01-09,809182593,24.5,189193893,30.5,10339326399,90405,14841,19.6,1209846,899,3279,20190118
3,3,0,OLD,20182544,글래스,2019-01-17,603538158,18.2,-11973422,-1.9,1227161738,64404,-7412,-10.3,136844,817,3360,20190118
4,4,0,OLD,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,190726930,5.8,24951610,15.1,11823470253,24286,1365,6,1489655,591,1036,20190118
5,5,0,OLD,20186324,언더독,2019-01-16,100998750,3.1,2800270,2.9,510384330,13236,-520,-3.8,65371,571,1175,20190118
6,6,0,OLD,20182588,미래의 미라이,2019-01-16,87241389,2.6,755539,0.9,331759019,10241,-929,-8.3,41200,489,949,20190118
7,7,0,OLD,20166602,그대 이름은 장미,2019-01-16,78813260,2.4,3170210,4.2,403699480,9194,-442,-4.6,47773,498,1068,20190118
8,8,2,OLD,20185485,보헤미안 랩소디,2018-10-31,77849680,2.4,20968990,36.9,85397384965,8529,1575,22.6,9836424,272,379,20190118
9,9,-1,OLD,20182044,구스 베이비,2019-01-16,57331450,1.7,531500,0.9,190204350,8254,-500,-5.7,28028,374,541,20190118
10,10,1,OLD,20180290,아쿠아맨,2018-12-19,67607480,2.0,13592490,25.2,43710223944,7576,792,11.7,4990965,306,473,20190118
